ClimateBin,ClimateBinR2,GlobalCropR2,
1,0.326480,0.788230,
2,0.257720,0.788230,
3,0.684910,0.788230,
4,0.715160,0.788230,
5,0.719820,0.788230,
6,0.737860,0.788230,
7,0.698770,0.788230,
8,0.613100,0.788230,
9,0.604650,0.788230,
10,0.633230,0.788230,
11,0.179010,0.788230,
12,0.706400,0.788230,
13,0.773310,0.788230,
14,0.657240,0.788230,
15,0.795410,0.788230,
16,0.762080,0.788230,
17,0.581160,0.788230,
18,0.512380,0.788230,
19,0.487610,0.788230,
20,0.610450,0.788230,
21,0.491930,0.788230,
22,0.607140,0.788230,
23,0.548400,0.788230,
24,0.689700,0.788230,
25,0.468350,0.788230,
26,0.548660,0.788230,
27,0.528990,0.788230,
28,0.363170,0.788230,
29,0.504320,0.788230,
30,0.709600,0.788230,
31,0.354550,0.788230,
32,0.472830,0.788230,
33,0.356690,0.788230,
34,0.304170,0.788230,
35,0.556070,0.788230,
36,0.509550,0.788230,
37,0.671340,0.788230,
38,0.731620,0.788230,
39,0.694260,0.788230,
40,0.594200,0.788230,
41,0.080505,0.788230,
42,0.011053,0.788230,
43,0.049851,0.788230,
44,0.216460,0.788230,
45,0.379570,0.788230,
46,0.465120,0.788230,
47,0.429520,0.788230,
48,0.432790,0.788230,
49,0.627410,0.788230,
50,0.731930,0.788230,
51,0.539990,0.788230,
52,0.510980,0.788230,
53,0.567710,0.788230,
54,0.267450,0.788230,
55,-0.042828,0.788230,
56,-0.102460,0.788230,
57,0.038146,0.788230,
58,0.138920,0.788230,
59,0.608750,0.788230,
60,0.455600,0.788230,
61,0.335450,0.788230,
62,0.332630,0.788230,
63,0.469370,0.788230,
64,0.504890,0.788230,
65,0.535240,0.788230,
66,0.569760,0.788230,
67,0.505870,0.788230,
68,0.287160,0.788230,
69,0.367600,0.788230,
70,0.310630,0.788230,
71,0.130560,0.788230,
72,0.088307,0.788230,
73,0.095011,0.788230,
74,0.178790,0.788230,
75,0.469810,0.788230,
76,0.581970,0.788230,
77,0.629420,0.788230,
78,0.608680,0.788230,
79,0.695030,0.788230,
80,0.410740,0.788230,
81,0.243720,0.788230,
82,0.113150,0.788230,
83,0.035280,0.788230,
84,0.020809,0.788230,
85,0.196740,0.788230,
86,0.243480,0.788230,
87,0.422740,0.788230,
88,0.481820,0.788230,
89,0.400680,0.788230,
90,0.168670,0.788230,
91,0.118570,0.788230,
92,0.071421,0.788230,
93,0.274430,0.788230,
94,0.437170,0.788230,
95,0.687510,0.788230,
96,0.560390,0.788230,
97,0.371070,0.788230,
98,0.163040,0.788230,
99,0.173410,0.788230,
100,0.275280,0.788230,
