ClimateBin,ClimateBinR2,GlobalCropR2,
1,0.644560,0.788230,
2,0.540940,0.788230,
3,0.575600,0.788230,
4,0.746060,0.788230,
5,0.743830,0.788230,
6,0.708350,0.788230,
7,0.814520,0.788230,
8,0.464340,0.788230,
9,0.246130,0.788230,
10,0.060090,0.788230,
11,0.800010,0.788230,
12,0.708790,0.788230,
13,0.513320,0.788230,
14,0.556180,0.788230,
15,0.884160,0.788230,
16,0.890960,0.788230,
17,0.772680,0.788230,
18,0.483210,0.788230,
19,0.277420,0.788230,
20,-0.031818,0.788230,
21,0.735460,0.788230,
22,0.408610,0.788230,
23,0.665650,0.788230,
24,0.893100,0.788230,
25,0.963000,0.788230,
26,0.919010,0.788230,
27,0.442920,0.788230,
28,0.154080,0.788230,
29,0.269700,0.788230,
30,0.074014,0.788230,
31,0.642210,0.788230,
32,0.773560,0.788230,
33,0.908610,0.788230,
34,0.964270,0.788230,
35,0.951040,0.788230,
36,0.957860,0.788230,
37,0.859780,0.788230,
38,0.694380,0.788230,
39,0.434720,0.788230,
40,-0.155610,0.788230,
41,0.709340,0.788230,
42,0.903940,0.788230,
43,0.947200,0.788230,
44,0.954240,0.788230,
45,0.937910,0.788230,
46,0.930070,0.788230,
47,0.927050,0.788230,
48,0.773440,0.788230,
49,0.314760,0.788230,
50,-0.132150,0.788230,
51,0.666290,0.788230,
52,0.922610,0.788230,
53,0.961160,0.788230,
54,0.953610,0.788230,
55,0.968600,0.788230,
56,0.967030,0.788230,
57,0.960340,0.788230,
58,0.900430,0.788230,
59,0.702080,0.788230,
60,0.761250,0.788230,
61,0.727350,0.788230,
62,0.939470,0.788230,
63,0.970270,0.788230,
64,0.977720,0.788230,
65,0.976140,0.788230,
66,0.958390,0.788230,
67,0.969780,0.788230,
68,0.881830,0.788230,
69,0.739150,0.788230,
70,0.850170,0.788230,
71,0.798360,0.788230,
72,0.954810,0.788230,
73,0.971890,0.788230,
74,0.966970,0.788230,
75,0.910200,0.788230,
76,0.926080,0.788230,
77,0.491000,0.788230,
78,0.188560,0.788230,
79,0.083677,0.788230,
80,0.019896,0.788230,
81,0.763090,0.788230,
82,0.852320,0.788230,
83,0.932460,0.788230,
84,0.969620,0.788230,
85,0.944560,0.788230,
86,0.902920,0.788230,
87,0.337110,0.788230,
88,0.139060,0.788230,
89,0.155330,0.788230,
90,0.060077,0.788230,
91,0.863190,0.788230,
92,0.958350,0.788230,
93,0.949170,0.788230,
94,0.920610,0.788230,
95,0.902710,0.788230,
96,0.967070,0.788230,
97,0.968250,0.788230,
98,0.871060,0.788230,
99,0.878990,0.788230,
100,0.858350,0.788230,
