ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95
1,2.714589,13.383195,24.092487,208.861748,0.323452,4.239080,14.254104,107.627125,0.121095,0.564160,13.002270,76.101408
2,24.092487,24.092487,24.092487,208.861748,14.254104,14.254104,14.254104,63.639726,13.002270,13.002270,13.002270,34.967223
3,24.092487,24.092487,24.092487,208.861748,14.254104,14.254104,14.254104,107.627125,13.002270,13.002270,13.002270,76.101408
4,24.092487,24.092487,24.092487,246.226112,14.254104,14.254104,14.254104,85.397550,13.002270,13.002270,13.002270,44.469317
5,24.092487,24.092487,89.864485,208.861748,14.254104,14.254104,39.219715,107.627125,13.002270,13.002270,23.449787,76.101408
6,24.092487,24.092487,24.092487,139.408549,14.254104,14.254104,14.254104,82.079573,13.002270,13.002270,13.002270,76.101408
7,24.092487,24.092487,24.092487,89.864485,14.254104,14.254104,14.254104,82.079573,13.002270,13.002270,13.002270,48.882315
8,24.092487,24.092487,24.092487,89.864485,14.254104,14.254104,14.254104,82.079573,13.002270,13.002270,13.002270,99.999999
9,24.092487,24.092487,49.059974,127.300415,14.254104,14.254104,40.944318,82.079573,13.002270,13.002270,34.967223,136.520882
10,63.034519,90.843470,168.580727,261.077185,24.987298,40.944318,85.397550,150.000000,20.564673,29.567776,50.621299,221.528023
11,3.657222,24.092487,123.884309,246.226112,4.239080,14.254104,39.219715,107.627125,0.564160,13.002270,34.967223,76.101408
12,24.092487,123.884309,185.959738,291.738769,14.254104,39.219715,52.201669,107.627125,13.002270,20.151935,34.967223,76.101408
13,24.092487,24.092487,24.092487,290.153332,14.254104,14.254104,14.254104,85.397550,13.002270,13.002270,13.002270,34.967223
14,24.092487,24.092487,24.092487,24.092487,14.254104,14.254104,14.254104,14.254104,13.002270,13.002270,13.002270,13.002270
15,24.092487,24.092487,24.092487,73.705164,14.254104,14.254104,14.254104,24.376528,13.002270,13.002270,13.002270,48.882315
16,24.092487,24.092487,41.000000,41.000000,14.254104,14.254104,24.376528,24.376528,13.002270,13.002270,44.688968,136.520882
17,24.092487,24.092487,41.000000,49.059974,14.254104,14.254104,24.376528,24.376528,13.002270,13.002270,136.520882,136.520882
18,24.092487,41.000000,41.000000,49.059974,14.254104,24.376528,24.376528,45.330738,13.002270,44.688968,136.520882,136.520882
19,27.000000,41.000000,41.000000,95.037872,17.886256,24.376528,24.376528,45.330738,44.688968,136.520882,136.520882,136.520882
20,45.165006,107.627419,155.000000,261.077185,24.376528,40.944318,85.397550,134.533906,33.586558,44.688968,93.379455,221.528023
21,24.092487,123.884309,174.685572,208.861748,14.254104,39.219715,52.201669,107.627125,13.002270,34.967223,44.469317,76.101408
22,24.092487,123.884309,126.278937,208.861748,14.254104,39.219715,47.265932,107.627125,13.002270,32.588210,34.967223,76.101408
23,24.092487,24.092487,51.956099,95.037872,14.254104,14.254104,25.493638,42.753245,13.002270,13.002270,28.496964,34.967223
24,24.092487,24.092487,57.997506,123.884309,14.254104,14.254104,23.065672,52.080764,13.002270,13.002270,26.321247,136.520882
25,22.671663,24.092487,41.000000,107.627419,3.484622,14.254104,24.376528,36.419482,3.328972,13.002270,32.588210,136.520882
26,22.671663,24.092487,41.000000,82.163133,3.484622,14.254104,24.376528,26.669860,3.328972,13.002270,136.520882,136.520882
27,24.092487,41.000000,41.000000,62.830631,14.254104,24.376528,24.376528,24.376528,13.002270,136.520882,136.520882,136.520882
28,24.092487,41.000000,41.000000,90.843470,14.254104,24.376528,24.376528,36.419482,13.002270,106.719626,136.520882,136.520882
29,22.671663,26.582190,62.830631,156.646311,3.484622,14.567793,24.376528,67.025388,3.328972,16.294105,28.496964,142.582716
30,88.591990,116.499900,161.000000,238.302307,30.772229,64.529652,72.962245,134.533906,28.496964,78.316538,177.866043,340.404415
31,24.092487,123.884309,165.870460,208.861748,14.254104,39.219715,47.265932,107.627125,13.002270,32.588210,34.967223,76.101408
32,24.092487,51.956099,82.163133,123.884309,14.254104,21.851689,25.493638,42.753245,13.002270,30.081425,32.588210,34.967223
33,41.081567,51.956099,68.872038,123.884309,15.781776,21.851689,25.493638,42.753245,18.800890,30.081425,32.588210,106.719626
34,22.671663,24.092487,67.663757,123.884309,3.484622,14.254104,21.851689,42.753245,3.328972,13.002270,26.321247,106.719626
35,22.671663,22.671663,24.092487,68.872038,3.484622,3.484622,14.254104,24.987298,3.328972,3.328972,13.002270,37.601781
36,22.671663,22.671663,41.000000,68.872038,3.484622,3.484622,19.423724,24.987298,3.328972,3.328972,16.294105,136.520882
37,22.671663,22.671663,26.582190,67.663757,3.484622,3.484622,14.567793,24.987298,3.328972,3.328972,13.002270,136.520882
38,22.671663,22.671663,26.582190,159.865137,3.484622,3.484622,14.567793,65.209130,3.328972,3.328972,13.002270,177.866043
39,22.671663,26.582190,79.746571,159.865137,3.484622,14.567793,36.419482,80.720344,3.328972,16.294105,29.404822,177.866043
40,155.000000,159.865137,167.883641,208.861748,65.209130,66.390261,71.365173,134.494699,126.262725,177.866043,340.404415,340.404415
41,24.092487,126.278937,208.861748,244.524306,14.254104,42.753245,62.671344,107.627125,13.002270,34.967223,44.469317,76.101408
42,24.092487,24.092487,123.884309,185.959738,14.254104,14.254104,42.031475,54.115203,13.002270,13.002270,34.967223,51.793628
43,24.092487,68.872038,82.163133,123.884309,14.254104,15.781776,21.851689,43.777347,13.002270,18.800890,30.081425,34.967223
44,22.671663,47.887364,79.746571,155.000000,3.484622,15.781776,21.851689,105.161561,3.328972,18.800890,30.081425,106.719626
45,22.671663,22.671663,68.872038,155.000000,3.484622,3.484622,20.637707,134.494699,3.328972,3.328972,18.800890,221.528023
46,22.671663,22.671663,22.671663,155.000000,3.484622,3.484622,3.484622,134.494699,3.328972,3.328972,3.328972,142.582716
47,22.671663,22.671663,47.887364,155.000000,3.484622,3.484622,24.987298,134.494699,3.328972,3.328972,5.867752,221.528023
48,22.671663,22.671663,47.887364,155.000000,3.484622,3.484622,24.987298,134.494699,3.328972,3.328972,27.574639,221.528023
49,44.706411,53.791234,156.646311,169.962769,21.449179,24.987298,71.365173,134.494699,23.101728,29.404822,131.999999,340.404415
50,103.717081,159.865137,198.418072,219.578730,40.944318,71.365173,107.627125,184.357089,34.967223,76.101408,185.437741,340.404415
51,24.092487,153.836940,208.861748,290.153332,14.254104,58.048527,107.627125,107.627125,13.002270,34.967223,76.101408,76.101408
52,24.092487,78.843636,172.672403,244.524306,14.254104,40.944318,54.440349,77.512231,13.002270,20.708956,34.967223,44.469317
53,22.671663,24.092487,153.836940,168.480358,3.484622,14.254104,42.031475,55.211228,3.328972,13.002270,37.569044,37.569044
54,22.671663,24.092487,108.018624,169.962769,3.484622,14.254104,31.398926,58.969452,3.328972,13.002270,34.967223,71.354390
55,24.092487,47.887364,108.018624,172.672403,14.254104,24.987298,31.398926,87.161563,5.867752,13.002270,39.082978,71.354390
56,36.757039,47.887364,123.884309,169.962769,16.941248,24.987298,39.219715,182.575653,5.867752,13.002270,40.603106,101.426038
57,36.757039,53.791234,108.018624,176.585157,16.941248,24.987298,34.600000,86.801273,22.880310,38.133851,44.469317,131.999999
58,53.791234,88.591990,167.883641,198.418072,24.987298,34.600000,66.390261,80.720344,23.101728,45.200000,155.815056,340.404415
59,69.299999,88.591990,155.000000,200.000000,30.772229,34.600000,45.179721,129.687282,22.880310,34.967223,50.621299,184.377975
60,74.785800,100.000000,123.884309,206.473848,30.772229,39.219715,59.613708,184.357089,8.170141,34.967223,45.200000,131.628283
61,3.657222,78.843636,161.604983,208.861748,0.564723,30.547446,72.594018,107.627125,0.160636,18.262202,28.649473,76.101408
62,47.887364,126.278937,174.685572,193.027045,24.987298,52.201669,63.277240,90.000000,13.002270,44.469317,44.469317,101.426038
63,101.148436,169.962769,175.540085,206.473848,42.031475,52.201669,64.677780,182.575653,34.967223,44.469317,50.663927,120.000000
64,88.591990,174.685572,206.473848,206.473848,28.202818,61.001576,65.366192,90.000000,34.967223,50.621299,58.278705,72.000000
65,137.122092,200.000000,206.473848,206.473848,61.001576,65.366192,65.366192,107.796299,50.621299,58.278705,58.278705,92.120250
66,123.884309,185.959738,206.473848,206.473848,42.031475,65.366192,65.366192,105.289196,37.569044,58.278705,58.278705,83.946508
67,100.000000,153.836940,206.473848,206.473848,39.219715,61.418453,65.366192,113.095697,34.967223,40.291816,58.278705,112.757001
68,123.884309,123.884309,127.300415,206.473848,39.219715,39.219715,42.031475,113.095697,34.967223,34.967223,40.291816,130.000000
69,123.884309,123.884309,153.836940,206.473848,39.219715,39.219715,61.418453,134.533906,34.967223,34.967223,48.858318,131.628283
70,110.000000,123.884309,206.473848,206.473848,39.219715,59.613708,61.054183,206.956259,34.967223,40.291816,58.278705,130.000000
71,22.254023,120.000000,161.604983,213.943416,1.724000,34.927539,90.733915,156.100000,0.676160,20.564673,52.421944,179.999998
72,105.769204,168.580727,175.540085,257.907059,60.391491,61.001576,74.899081,156.100000,39.082978,50.663927,83.946508,179.999998
73,166.227752,175.540085,175.540085,206.473848,60.391491,61.001576,61.001576,83.209301,50.663927,50.663927,58.278705,83.946508
74,166.227752,166.227752,175.540085,206.473848,60.391491,60.391491,61.001576,65.366192,50.663927,58.278705,58.278705,58.278705
75,123.884309,166.227752,166.227752,206.473848,39.219715,60.391491,60.391491,68.036530,34.967223,50.663927,58.278705,66.100362
76,123.884309,123.884309,127.300415,206.473848,39.219715,39.219715,59.613708,67.303999,34.967223,34.967223,40.291816,58.278705
77,123.884309,123.884309,123.884309,206.473848,39.219715,39.219715,39.219715,61.054183,34.967223,34.967223,34.967223,58.278705
78,123.884309,123.884309,123.884309,206.473848,39.219715,39.219715,39.219715,67.303999,34.967223,34.967223,34.967223,58.278705
79,123.884309,123.884309,123.884309,206.473848,39.219715,39.219715,39.219715,134.533906,34.967223,34.967223,38.605733,93.379455
80,123.884309,123.884309,139.143439,206.473848,39.219715,39.219715,60.391491,321.000000,34.967223,38.605733,58.278705,193.000000
81,49.511163,120.000000,204.057474,261.077185,26.928342,63.277240,90.000000,156.100000,5.000000,18.401363,87.905557,179.999998
82,18.533417,55.000000,120.000000,233.836782,24.000000,36.000000,90.000000,215.000000,0.000000,0.676160,72.000000,134.000000
83,60.000000,123.884309,123.884309,182.044116,24.000000,39.219715,39.219715,90.000000,0.269437,34.967223,34.967223,72.000000
84,123.884309,123.884309,123.884309,123.884309,39.219715,39.219715,39.219715,39.219715,34.967223,34.967223,34.967223,34.967223
85,123.884309,123.884309,123.884309,187.531079,39.219715,39.219715,39.219715,90.000000,34.967223,34.967223,34.967223,60.898405
86,56.186739,123.884309,127.300415,261.077185,19.680786,39.219715,65.366192,407.000000,0.359798,38.605733,58.278705,200.000000
87,111.182262,123.884309,136.000000,206.473848,39.219715,39.219715,59.613708,407.000000,36.158986,38.605733,58.278705,200.000000
88,123.884309,123.884309,154.456844,187.531079,39.219715,43.360302,52.786133,407.000000,38.605733,55.372464,58.278705,200.000000
89,123.884309,123.884309,154.456844,187.531079,39.219715,43.360302,52.786133,407.000000,36.158986,55.372464,58.278705,200.000000
90,123.884309,139.143439,154.456844,187.531079,39.219715,43.360302,61.054183,65.366192,36.158986,55.372464,58.278705,58.288200
91,93.315758,137.122092,182.044116,233.836782,19.680786,32.801310,82.659271,90.000000,4.515006,24.959834,24.959834,72.000000
92,60.000000,137.122092,138.287887,138.287887,19.680786,19.680786,32.801310,215.000000,24.959834,24.959834,24.959834,134.000000
93,82.972732,138.287887,138.287887,138.287887,19.680786,19.680786,19.680786,32.801310,24.959834,24.959834,24.959834,41.599724
94,82.972732,138.287887,138.287887,138.287887,19.680786,19.680786,19.680786,32.801310,24.959834,24.959834,24.959834,41.599724
95,82.972732,131.689554,138.287887,138.287887,19.680786,19.680786,19.680786,43.360302,24.959834,24.959834,24.959834,49.000691
96,82.972732,82.972732,137.122092,138.287887,19.680786,19.680786,32.801310,61.054183,24.959834,24.959834,24.959834,50.600525
97,82.972732,82.972732,82.972732,138.287887,19.680786,32.801310,32.801310,61.054183,24.959834,24.959834,24.959834,55.372464
98,75.113015,82.972732,82.972732,154.456844,14.329581,31.489802,32.801310,61.534198,7.235767,24.959834,24.959834,55.372464
99,75.113015,82.972732,82.972732,154.456844,14.329581,23.912604,32.801310,61.534198,7.235767,24.959834,24.959834,55.372464
100,75.113015,75.113015,82.972732,131.689554,14.329581,14.329581,32.801310,61.534198,7.235767,7.235767,25.557982,55.372464
