ClimateBin,ClimateBinR2,GlobalCropR2,
1,0.706820,0.788230,
2,0.551570,0.788230,
3,0.623810,0.788230,
4,0.660590,0.788230,
5,0.497910,0.788230,
6,0.540130,0.788230,
7,0.509700,0.788230,
8,0.284340,0.788230,
9,0.220960,0.788230,
10,0.605150,0.788230,
11,0.654660,0.788230,
12,0.568720,0.788230,
13,0.616190,0.788230,
14,0.475040,0.788230,
15,0.517420,0.788230,
16,0.248920,0.788230,
17,0.240090,0.788230,
18,0.211650,0.788230,
19,0.296580,0.788230,
20,0.668760,0.788230,
21,0.769450,0.788230,
22,0.549910,0.788230,
23,0.535060,0.788230,
24,0.785960,0.788230,
25,0.703280,0.788230,
26,0.662280,0.788230,
27,0.339410,0.788230,
28,0.308580,0.788230,
29,0.762750,0.788230,
30,0.797030,0.788230,
31,0.699510,0.788230,
32,0.549990,0.788230,
33,0.623500,0.788230,
34,0.665960,0.788230,
35,0.522430,0.788230,
36,0.391390,0.788230,
37,0.672000,0.788230,
38,0.877350,0.788230,
39,0.900330,0.788230,
40,0.791440,0.788230,
41,0.632850,0.788230,
42,0.528420,0.788230,
43,0.630970,0.788230,
44,0.798850,0.788230,
45,0.837140,0.788230,
46,0.764100,0.788230,
47,0.836930,0.788230,
48,0.765190,0.788230,
49,0.624420,0.788230,
50,0.525810,0.788230,
51,0.730690,0.788230,
52,0.451970,0.788230,
53,0.440800,0.788230,
54,0.430470,0.788230,
55,0.469920,0.788230,
56,0.477520,0.788230,
57,0.314480,0.788230,
58,0.449770,0.788230,
59,0.448980,0.788230,
60,0.536740,0.788230,
61,0.553740,0.788230,
62,0.361550,0.788230,
63,0.317330,0.788230,
64,0.499810,0.788230,
65,0.470030,0.788230,
66,0.314210,0.788230,
67,0.325690,0.788230,
68,0.313930,0.788230,
69,0.452700,0.788230,
70,0.606920,0.788230,
71,0.330680,0.788230,
72,0.385710,0.788230,
73,0.190980,0.788230,
74,0.277610,0.788230,
75,0.319160,0.788230,
76,0.318380,0.788230,
77,0.181630,0.788230,
78,0.313120,0.788230,
79,0.217690,0.788230,
80,0.249190,0.788230,
81,0.332850,0.788230,
82,0.624240,0.788230,
83,0.490190,0.788230,
84,0.298830,0.788230,
85,0.397950,0.788230,
86,0.473540,0.788230,
87,0.221150,0.788230,
88,0.128560,0.788230,
89,0.100760,0.788230,
90,0.136740,0.788230,
91,0.619520,0.788230,
92,0.450140,0.788230,
93,0.553670,0.788230,
94,0.609610,0.788230,
95,0.509720,0.788230,
96,0.398390,0.788230,
97,0.400100,0.788230,
98,0.288870,0.788230,
99,0.269020,0.788230,
100,0.129060,0.788230,
