ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95
1,143.705798,178.007171,200.299987,203.626499,40.360172,46.639903,56.947275,66.547174,18.649186,21.654990,27.623268,30.988786
2,192.824193,195.437215,239.509664,239.509664,49.788094,65.881627,71.308573,71.308573,21.654990,31.081976,31.081976,45.901958
3,192.824193,195.437215,239.509664,239.509664,65.033136,65.881627,71.308573,78.990566,21.488969,31.081976,31.081976,48.198181
4,143.705798,192.824193,239.509664,239.509664,42.785144,65.881627,71.308573,71.308573,18.649186,31.081976,31.081976,31.081976
5,147.668482,239.509664,239.509664,239.509664,42.785144,66.547174,71.308573,71.308573,18.649186,31.081976,31.081976,31.081976
6,143.705798,192.824193,239.509664,239.509664,42.785144,65.881627,71.308573,81.264261,18.649186,27.020761,31.081976,80.000000
7,143.705798,169.225829,178.007171,239.509664,42.785144,42.785144,66.547174,81.264261,18.649186,27.020761,38.050704,80.000000
8,143.705798,169.225829,178.007171,192.824193,40.360172,42.785144,81.264261,109.425148,18.649186,38.050704,80.000000,80.000000
9,143.705798,143.705798,169.225829,239.509664,42.785144,42.785144,81.264261,109.425148,18.649186,20.589724,61.681842,80.000000
10,78.000000,143.705798,161.406390,217.536052,42.785144,57.584873,81.264261,109.425148,18.649186,22.000000,61.681842,80.000000
11,143.705798,143.705798,147.668482,239.509664,42.785144,42.785144,42.785144,65.033136,18.649186,18.649186,19.284792,21.488969
12,143.705798,143.705798,239.509664,239.509664,42.785144,42.785144,65.033136,65.033136,18.649186,18.649186,21.488969,21.488969
13,143.705798,161.406390,239.509664,239.509664,42.785144,65.033136,65.033136,67.303999,18.649186,21.488969,21.488969,31.081976
14,143.705798,143.705798,192.824193,239.509664,42.785144,42.785144,65.033136,65.881627,19.284792,20.589724,22.000000,38.050704
15,143.705798,143.705798,161.406390,239.509664,42.785144,42.785144,42.785144,65.881627,20.589724,20.589724,21.488969,31.081976
16,143.705798,143.705798,161.406390,239.509664,42.785144,42.785144,42.785144,65.033136,19.284792,20.589724,20.589724,31.081976
17,143.705798,143.705798,161.406390,239.509664,42.785144,42.785144,42.785144,65.033136,19.284792,20.589724,20.589724,22.000000
18,143.705798,143.705798,143.705798,179.169939,42.785144,42.785144,42.785144,57.584873,19.284792,20.589724,20.589724,31.081976
19,143.705798,143.705798,161.406390,217.536052,42.785144,42.785144,42.785144,71.308573,18.649186,19.284792,20.589724,31.081976
20,143.705798,143.705798,217.536052,217.536052,42.785144,42.785144,71.308573,71.308573,19.284792,19.284792,31.081976,31.081976
21,1.913232,55.800000,141.300000,217.536052,0.293055,23.802285,47.000000,71.308573,0.000000,0.222187,18.649186,31.081976
22,36.000000,40.000000,137.122092,217.536052,14.281371,25.903343,47.000000,71.308573,5.559608,9.800000,23.000000,31.081976
23,38.003917,60.379086,143.705798,217.536052,14.281371,37.000000,57.584873,71.308573,7.654121,22.000000,31.081976,31.081976
24,40.000000,143.705798,143.705798,179.169939,37.000000,43.959012,57.584873,57.584873,19.284792,26.143136,31.081976,31.081976
25,103.500000,143.705798,179.169939,179.169939,37.000000,47.302148,57.584873,57.584873,22.000000,29.531981,31.081976,31.081976
26,63.339861,143.705798,179.169939,179.169939,40.500000,47.302148,57.584873,57.584873,22.000000,29.531981,31.081976,31.081976
27,103.500000,143.705798,179.169939,217.536052,40.500000,47.302148,49.000000,71.308573,22.000000,29.531981,29.743399,31.081976
28,94.500000,143.705798,179.169939,179.169939,37.000000,47.302148,47.302148,57.584873,22.000000,29.531981,29.531981,31.081976
29,43.350000,94.500000,179.169939,179.169939,10.760672,14.281371,47.302148,49.000000,4.319862,6.192896,29.531981,31.081976
30,38.003917,43.350000,94.500000,103.500000,10.760672,10.760672,14.281371,36.589434,4.319862,5.559608,6.192896,26.143136
31,51.375887,141.300000,141.300000,141.300000,7.028580,58.500000,58.500000,58.500000,0.000000,0.000000,0.222187,8.870333
32,141.300000,141.300000,141.300000,163.200000,52.800000,58.500000,58.500000,58.500000,0.000000,0.000000,0.000000,9.266013
33,55.800000,108.300000,141.300000,163.200000,23.802285,44.600000,58.500000,58.500000,0.000000,2.200000,8.870333,26.143136
34,38.003917,55.800000,108.300000,152.759883,14.281371,18.328162,36.400000,47.302148,2.200000,5.559608,9.800000,26.143136
35,30.000000,38.003917,108.300000,111.900000,10.760672,14.281371,36.400000,47.302148,2.200000,5.559608,9.800000,26.143136
36,38.003917,55.800000,103.500000,111.900000,14.281371,25.903343,40.500000,49.000000,5.559608,9.266013,26.143136,26.143136
37,43.350000,103.500000,103.500000,111.900000,14.281371,40.500000,40.500000,44.600000,6.192896,26.143136,26.143136,26.143136
38,30.000000,38.003917,94.500000,108.000000,10.760672,14.281371,14.281371,40.500000,4.319862,5.559608,6.192896,26.986947
39,38.003917,63.339861,81.726908,94.500000,10.760672,14.281371,15.000000,26.131950,5.559608,6.192896,7.073091,32.800000
40,38.003917,85.900000,85.900000,94.500000,9.900000,10.760672,14.281371,23.802285,5.559608,6.192896,32.800000,32.800000
41,51.375887,141.300000,163.200000,163.200000,23.802285,52.800000,52.800000,58.500000,0.000000,0.000000,0.222187,9.266013
42,38.003917,108.300000,111.900000,111.900000,14.281371,36.400000,44.600000,44.600000,2.200000,5.559608,9.800000,9.800000
