ClimateBin,ClimateBinR2,GlobalCropR2,
1,0.323550,0.788230,
2,0.391460,0.788230,
3,0.547180,0.788230,
4,0.646910,0.788230,
5,0.719510,0.788230,
6,0.631130,0.788230,
7,0.221910,0.788230,
8,0.337630,0.788230,
9,0.321910,0.788230,
10,0.619610,0.788230,
11,0.274240,0.788230,
12,0.005699,0.788230,
13,0.165670,0.788230,
14,0.143840,0.788230,
15,0.211510,0.788230,
16,0.228090,0.788230,
17,0.268770,0.788230,
18,0.323660,0.788230,
19,0.429980,0.788230,
20,0.580740,0.788230,
21,0.573760,0.788230,
22,0.428410,0.788230,
23,0.560620,0.788230,
24,0.539130,0.788230,
25,0.597350,0.788230,
26,0.592400,0.788230,
27,0.436440,0.788230,
28,0.274830,0.788230,
29,0.376330,0.788230,
30,0.542680,0.788230,
31,0.730510,0.788230,
32,0.445040,0.788230,
33,0.569910,0.788230,
34,0.316280,0.788230,
35,0.181510,0.788230,
36,0.615760,0.788230,
37,0.641270,0.788230,
38,0.373790,0.788230,
39,0.375520,0.788230,
40,0.157550,0.788230,
41,0.173330,0.788230,
42,0.248030,0.788230,
43,0.142680,0.788230,
44,0.052386,0.788230,
45,0.265180,0.788230,
46,0.355520,0.788230,
47,0.338190,0.788230,
48,0.226200,0.788230,
49,0.341640,0.788230,
50,0.180950,0.788230,
51,0.117000,0.788230,
52,0.087292,0.788230,
53,0.040355,0.788230,
54,0.296440,0.788230,
55,0.409680,0.788230,
56,0.383990,0.788230,
57,0.271160,0.788230,
58,0.327290,0.788230,
59,0.253960,0.788230,
60,0.220940,0.788230,
61,0.065637,0.788230,
62,0.186700,0.788230,
63,0.485890,0.788230,
64,0.591840,0.788230,
65,0.499450,0.788230,
66,0.365600,0.788230,
67,0.412660,0.788230,
68,0.458620,0.788230,
69,0.259280,0.788230,
70,0.283440,0.788230,
71,-0.058994,0.788230,
72,0.652030,0.788230,
73,0.488870,0.788230,
74,0.507000,0.788230,
75,0.324190,0.788230,
76,0.433190,0.788230,
77,0.347270,0.788230,
78,0.122390,0.788230,
79,0.133460,0.788230,
80,0.208250,0.788230,
81,0.177370,0.788230,
82,0.037581,0.788230,
83,0.126830,0.788230,
84,0.168010,0.788230,
85,0.298790,0.788230,
86,0.285860,0.788230,
87,0.307900,0.788230,
88,0.132390,0.788230,
89,0.045047,0.788230,
90,0.022714,0.788230,
91,0.253200,0.788230,
92,0.439820,0.788230,
93,0.334460,0.788230,
94,0.567190,0.788230,
95,0.456150,0.788230,
96,0.370550,0.788230,
97,0.481560,0.788230,
98,0.306650,0.788230,
99,0.374370,0.788230,
100,0.345020,0.788230,
