ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95
1,12.951377,12.951377,54.716914,79.285958,3.105415,3.105415,9.398492,17.827143,2.518992,7.364023,7.364023,9.324593
2,12.951377,12.951377,12.951377,54.716914,3.105415,3.105415,3.105415,9.790727,7.364023,7.364023,7.364023,7.364023
3,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,17.827143,7.364023,7.364023,7.364023,7.364023
4,12.951377,12.951377,12.951377,89.864485,3.105415,3.105415,3.105415,23.000000,7.364023,7.364023,7.364023,27.000000
5,12.951377,12.951377,12.951377,89.864485,3.105415,3.105415,3.105415,19.130225,7.364023,7.364023,7.364023,19.980960
6,12.951377,12.951377,12.951377,37.248785,3.105415,3.105415,3.105415,16.415915,7.364023,7.364023,7.364023,19.980960
7,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,22.284743,7.364023,7.364023,7.364023,19.980960
8,12.951377,12.951377,12.951377,51.218714,3.105415,3.105415,3.105415,22.360000,7.364023,7.364023,7.364023,29.240000
9,12.951377,12.951377,12.951377,89.864485,3.105415,3.105415,3.105415,23.000000,7.364023,7.364023,7.364023,29.240000
10,12.951377,12.951377,37.248785,89.864485,3.105415,3.105415,16.415915,23.000000,7.364023,7.364023,19.208210,29.240000
11,12.951377,12.951377,12.951377,54.716914,3.105415,3.105415,3.105415,9.790727,2.518992,7.364023,7.364023,7.364023
12,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,21.206878,7.364023,7.364023,7.364023,7.364023
13,12.951377,12.951377,12.951377,79.285958,3.105415,3.105415,3.105415,16.415915,7.364023,7.364023,7.364023,15.066128
14,12.951377,12.951377,12.951377,12.951377,3.105415,3.105415,3.105415,3.105415,7.364023,7.364023,7.364023,7.364023
15,12.951377,12.951377,12.951377,12.951377,3.105415,3.105415,3.105415,3.105415,7.364023,7.364023,7.364023,7.364023
16,12.951377,12.951377,12.951377,12.951377,3.105415,3.105415,3.105415,3.105415,7.364023,7.364023,7.364023,7.364023
17,12.951377,12.951377,12.951377,12.951377,3.105415,3.105415,3.105415,3.105415,7.364023,7.364023,7.364023,7.364023
18,12.951377,12.951377,47.000000,47.000000,3.105415,3.105415,12.188264,15.554550,7.364023,7.364023,83.362308,83.362308
