ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95
1,58.275179,58.275179,58.275179,82.172093,48.917681,48.917681,53.324956,65.109718,13.707152,13.707152,13.707152,17.431972
2,33.000000,58.275179,58.275179,59.401612,26.757314,48.917681,53.324956,58.953507,13.707152,13.707152,13.707152,14.379330
3,32.415419,33.000000,58.275179,58.275179,20.494964,26.757314,48.917681,53.324956,6.825367,13.707152,14.175763,36.751977
4,33.000000,33.000000,58.275179,58.275179,20.494964,22.772182,53.324956,53.324956,6.825367,13.707152,13.707152,36.751977
5,21.000000,58.275179,58.275179,58.275179,22.772182,53.324956,53.324956,53.324956,13.707152,13.707152,20.303102,36.751977
6,21.000000,26.000000,58.275179,58.275179,22.772182,26.757314,53.324956,53.324956,13.707152,14.175763,36.751977,36.751977
7,21.000000,32.751444,58.275179,81.225098,22.772182,43.097560,53.324956,67.496417,13.707152,13.707152,36.751977,36.751977
8,21.000000,21.000000,21.000000,81.225098,22.772182,22.772182,28.465227,67.496417,36.751977,36.751977,47.777570,47.777570
9,18.000000,21.000000,24.397637,30.000000,19.925659,22.507846,22.772182,34.158273,35.685718,36.751977,45.677457,47.777570
10,24.397637,24.397637,26.478034,59.882115,22.507846,22.507846,30.522655,48.917681,35.685718,35.685718,35.685718,44.627401
11,26.000000,58.275179,72.364897,81.225098,26.757314,48.917681,53.324956,67.496417,13.707152,14.175763,14.727065,20.303102
12,21.000000,26.000000,26.000000,81.225098,22.772182,26.757314,26.757314,67.496417,14.175763,14.175763,36.751977,36.751977
13,21.000000,21.000000,26.000000,59.401612,22.772182,22.772182,26.757314,52.424713,21.236320,36.751977,36.751977,44.627401
14,21.000000,21.000000,30.000000,30.000000,22.772182,22.772182,34.158273,34.158273,36.751977,36.751977,44.627401,44.627401
15,21.000000,21.000000,30.000000,30.000000,22.772182,28.465227,34.158273,34.158273,36.751977,44.627401,44.627401,47.777570
16,21.000000,30.000000,30.000000,30.000000,22.772182,34.158273,34.158273,34.158273,36.751977,44.627401,44.627401,47.777570
17,21.000000,30.000000,30.000000,30.000000,22.507846,34.158273,34.158273,34.158273,44.627401,44.627401,45.677457,47.777570
18,21.000000,30.000000,30.000000,30.000000,28.465227,34.158273,34.158273,34.158273,44.627401,44.627401,45.677457,57.753107
19,21.000000,24.000000,30.000000,30.000000,28.465227,34.158273,37.574100,37.574100,44.627401,47.777570,62.478361,62.478361
20,21.000000,21.000000,30.000000,58.275179,32.450359,32.450359,34.158273,48.917681,47.777570,57.753107,61.953332,62.478361
21,19.000000,26.000000,58.275179,79.253160,24.480095,26.757314,48.917681,58.953507,13.125706,14.175763,14.175763,15.916417
22,19.000000,19.000000,26.000000,59.401612,24.480095,24.480095,26.757314,56.924388,13.125706,13.125706,14.175763,44.627401
23,19.000000,30.000000,30.000000,58.275179,24.480095,34.158273,34.158273,52.424713,13.125706,44.627401,44.627401,46.720106
24,30.000000,30.000000,30.000000,30.000000,34.158273,34.158273,34.158273,34.158273,44.627401,44.627401,44.627401,57.753107
25,21.000000,30.000000,30.000000,30.000000,32.450359,34.158273,34.158273,34.158273,44.627401,44.627401,57.753107,57.753107
