ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95
1,31.219835,118.928936,119.920621,159.235641,11.579149,22.658342,46.350572,65.433124,7.470484,16.318038,18.518680,32.042698
2,31.219835,118.928936,119.920621,154.053404,16.993757,27.420270,46.698115,64.744092,11.898377,16.318038,29.930455,32.042698
3,31.219835,85.156950,118.928936,154.053404,11.579149,38.330599,50.526562,77.830192,7.470484,16.318038,29.872291,69.999999
4,31.219835,31.219835,85.156950,167.962108,11.579149,11.579149,43.775772,80.000000,7.470484,7.470484,24.032024,105.462895
5,31.219835,31.219835,96.485156,167.962108,11.579149,11.579149,46.698115,80.000000,7.470484,7.470484,29.930455,105.462895
6,31.219835,90.000000,154.053404,167.962108,11.579149,29.450549,50.526562,80.000000,7.470484,52.710065,69.999999,124.085877
7,31.219835,57.000000,154.053404,167.962108,11.579149,26.829384,43.775772,80.000000,7.470484,52.710065,69.999999,147.394226
8,90.000000,112.544849,167.962108,267.278351,24.376528,29.450549,80.000000,143.733423,52.924007,105.462895,124.085877,147.394226
9,89.689516,112.544849,167.962108,267.278351,26.669860,43.775772,43.775772,143.733423,52.924007,97.303188,105.462895,147.394226
10,89.689516,89.689516,140.812825,176.000000,26.669860,26.669860,52.000000,107.606868,52.924007,52.924007,115.121896,162.171981
11,118.928936,118.928936,119.920621,121.227779,22.658342,22.658342,50.526562,61.692881,16.318038,20.752348,32.042698,32.042698
12,89.940465,118.928936,119.920621,119.920621,22.139276,22.658342,22.658342,50.526562,24.032024,29.872291,32.042698,32.042698
13,31.219835,31.219835,112.544849,119.920621,11.579149,11.579149,43.777347,50.526562,7.470484,7.470484,24.032024,53.194333
14,31.219835,31.219835,148.618609,219.907210,11.579149,11.579149,50.526562,66.769051,7.470484,7.470484,66.429813,134.943753
15,31.219835,96.485156,170.230748,219.907210,11.579149,29.450549,50.526562,59.485154,7.470484,24.032024,66.429813,134.943753
16,31.219835,89.689516,112.544849,188.968395,11.579149,22.139276,43.775772,59.068744,7.470484,16.318038,53.194333,134.943753
17,31.219835,31.219835,89.689516,187.283613,11.579149,11.579149,24.376528,50.526562,7.470484,7.470484,52.924007,147.394226
18,31.219835,31.219835,90.000000,187.283613,11.579149,11.579149,24.376528,59.068744,7.470484,7.470484,77.710347,147.394226
19,85.156950,112.544849,165.574607,188.968395,24.376528,44.917361,61.869765,93.476671,24.032024,88.990881,124.085877,162.171981
20,114.064014,140.000000,165.574607,188.968395,48.312571,64.529652,65.209130,106.517429,115.121896,137.070760,162.171981,162.171981
21,118.928936,119.920621,119.920621,119.920621,22.658342,22.658342,50.526562,55.859737,16.318038,29.930455,32.042698,32.042698
22,31.219835,112.544849,130.494388,219.907210,11.579149,22.658342,50.526562,66.769051,7.470484,24.032024,66.429813,82.723918
23,31.219835,118.928936,209.032678,219.907210,11.579149,48.559310,50.526562,66.769051,7.470484,48.882315,77.710347,97.303188
24,31.219835,105.120480,130.494388,219.907210,11.579149,29.450549,50.526562,59.485154,7.470484,16.318038,66.429813,97.303188
25,18.808699,31.219835,112.544849,209.032678,4.127772,11.579149,43.703379,57.057189,2.052533,7.470484,24.032024,97.303188
