ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95
1,44.000000,62.520163,155.813822,155.813822,3.401826,21.063398,51.120076,53.481429,10.818556,10.818556,55.987865,98.000000
2,44.000000,104.429413,104.429413,152.760498,3.401826,53.100000,53.100000,53.481429,10.818556,36.000000,125.400000,125.400000
3,44.000000,104.429413,114.268410,155.813822,3.401826,28.849016,53.100000,53.481429,10.818556,30.304927,55.987865,125.400000
4,61.000000,104.429413,148.661171,212.199409,53.100000,53.481429,57.000000,79.107679,30.304927,93.313108,118.000000,125.400000
5,61.000000,61.000000,148.661171,212.199409,53.481429,57.000000,57.000000,79.107679,30.449203,118.000000,118.000000,118.000000
6,61.000000,61.000000,76.000000,152.760498,53.481429,57.000000,57.000000,57.000000,113.000000,118.000000,118.000000,118.000000
7,61.000000,76.000000,148.661171,166.972127,45.000000,53.481429,57.000000,71.981091,30.449203,96.956145,118.000000,118.000000
8,76.000000,124.917313,124.917313,152.760498,21.415426,21.415426,57.000000,71.981091,50.508211,96.956145,96.956145,118.000000
9,116.537470,124.917313,148.661171,152.760498,21.415426,21.415426,53.481429,71.981091,36.000000,96.956145,96.956145,118.000000
10,61.000000,76.000000,148.661171,185.348212,21.415426,45.000000,53.481429,71.981091,17.885377,36.000000,96.956145,113.000000
11,44.000000,104.429413,155.813822,192.807207,3.401826,28.849016,51.120076,51.120076,3.443903,10.818556,55.987865,79.000000
12,104.429413,104.429413,104.429413,155.813822,51.120076,53.100000,53.100000,53.481429,55.987865,125.400000,125.400000,125.400000
13,61.000000,61.000000,61.000000,148.661171,57.000000,57.000000,57.000000,64.106892,118.000000,118.000000,118.000000,118.000000
14,61.000000,61.000000,61.000000,76.000000,57.000000,57.000000,57.000000,57.000000,118.000000,118.000000,118.000000,118.000000
15,61.000000,61.000000,61.000000,76.000000,57.000000,57.000000,57.000000,57.000000,118.000000,118.000000,118.000000,118.000000
16,61.000000,61.000000,76.000000,76.000000,45.570697,57.000000,57.000000,57.000000,113.000000,118.000000,118.000000,118.000000
17,61.000000,61.000000,76.000000,148.661171,45.000000,57.000000,57.000000,71.981091,113.000000,118.000000,118.000000,118.000000
18,61.000000,70.000000,76.000000,148.661171,45.000000,57.000000,57.000000,71.981091,50.508211,113.000000,118.000000,118.000000
19,61.000000,61.000000,148.661171,148.661171,57.000000,57.000000,71.981091,71.981091,50.508211,113.000000,118.000000,118.000000
20,61.000000,72.000000,148.661171,185.348212,21.415426,57.000000,59.127685,71.981091,32.333112,50.508211,113.000000,118.000000
21,114.268410,155.813822,155.813822,192.807207,28.849016,41.050981,51.120076,51.120076,3.443903,43.184157,55.987865,79.000000
22,61.000000,61.000000,114.268410,155.813822,40.500000,53.100000,57.000000,57.000000,36.000000,118.000000,118.000000,125.400000
23,61.000000,61.000000,61.000000,61.000000,57.000000,57.000000,57.000000,57.000000,118.000000,118.000000,118.000000,118.000000
24,61.000000,61.000000,76.000000,76.000000,45.000000,57.000000,57.000000,57.000000,113.000000,118.000000,118.000000,118.000000
25,61.000000,61.000000,76.000000,109.004933,45.000000,57.000000,57.000000,57.000000,113.000000,118.000000,118.000000,118.000000
26,61.000000,61.000000,61.000000,148.661171,57.000000,57.000000,57.000000,71.981091,118.000000,118.000000,118.000000,118.000000
27,61.000000,61.000000,89.250000,148.661171,57.000000,57.000000,60.000000,71.981091,50.508211,118.000000,118.000000,118.000000
28,61.000000,61.000000,148.661171,148.661171,57.000000,57.000000,71.981091,71.981091,50.508211,118.000000,118.000000,130.000000
