ClimateBin,ClimateBinR2,GlobalCropR2,
1,0.076345,0.788230,
2,-0.020992,0.788230,
3,-0.046220,0.788230,
4,0.140390,0.788230,
5,0.125360,0.788230,
6,0.191590,0.788230,
7,0.129510,0.788230,
8,0.092108,0.788230,
9,0.023448,0.788230,
10,0.293730,0.788230,
11,0.055237,0.788230,
12,0.222330,0.788230,
13,0.279220,0.788230,
14,0.157430,0.788230,
15,0.165580,0.788230,
16,0.183620,0.788230,
17,0.210190,0.788230,
18,0.229330,0.788230,
19,0.276850,0.788230,
20,0.424930,0.788230,
21,0.483910,0.788230,
22,0.289670,0.788230,
23,0.132020,0.788230,
24,0.251800,0.788230,
25,0.392380,0.788230,
26,0.399910,0.788230,
27,0.517600,0.788230,
28,0.427860,0.788230,
29,0.394740,0.788230,
30,0.601850,0.788230,
31,0.516700,0.788230,
32,0.440620,0.788230,
33,0.186530,0.788230,
34,0.520050,0.788230,
35,0.617360,0.788230,
36,0.602270,0.788230,
37,0.509760,0.788230,
38,0.481280,0.788230,
39,0.285810,0.788230,
40,0.530000,0.788230,
41,0.568720,0.788230,
42,0.494150,0.788230,
43,0.506130,0.788230,
44,0.332190,0.788230,
45,0.380150,0.788230,
46,0.581720,0.788230,
47,0.476770,0.788230,
48,0.517650,0.788230,
49,0.412090,0.788230,
50,0.362630,0.788230,
51,0.362820,0.788230,
52,0.374320,0.788230,
53,0.325070,0.788230,
54,0.404190,0.788230,
55,0.492890,0.788230,
56,0.445240,0.788230,
57,0.606160,0.788230,
58,0.749640,0.788230,
59,0.439510,0.788230,
60,0.344900,0.788230,
61,0.617830,0.788230,
62,0.421750,0.788230,
63,0.310810,0.788230,
64,0.308500,0.788230,
65,0.383140,0.788230,
66,0.503870,0.788230,
67,0.594050,0.788230,
68,0.560730,0.788230,
69,0.502050,0.788230,
70,0.057021,0.788230,
71,0.134150,0.788230,
72,0.337860,0.788230,
73,0.297040,0.788230,
74,0.432180,0.788230,
75,0.522910,0.788230,
76,0.557800,0.788230,
77,0.266740,0.788230,
78,0.500560,0.788230,
79,0.237640,0.788230,
80,0.005842,0.788230,
81,0.566900,0.788230,
82,0.185110,0.788230,
83,0.396220,0.788230,
84,0.278920,0.788230,
85,0.084106,0.788230,
86,-0.003917,0.788230,
87,0.057928,0.788230,
88,0.006612,0.788230,
89,0.052611,0.788230,
90,0.358920,0.788230,
91,-0.008001,0.788230,
92,0.013063,0.788230,
93,-0.010425,0.788230,
94,-0.013186,0.788230,
95,-0.012449,0.788230,
96,0.028937,0.788230,
97,-0.005165,0.788230,
98,0.083008,0.788230,
99,0.003734,0.788230,
100,0.135250,0.788230,
