ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95
1,0.897709,5.913793,79.285958,106.157094,0.549885,1.849013,21.392572,30.199903,0.019690,0.453808,23.311482,26.455258
2,5.913793,5.913793,79.285958,106.157094,1.849013,1.849013,21.392572,30.199903,0.453808,0.453808,23.311482,26.455258
3,5.913793,5.913793,24.983463,106.157094,1.849013,1.849013,17.362984,28.473638,0.453808,0.453808,11.562181,26.455258
4,10.870071,24.983463,24.983463,80.818520,5.664586,5.664586,5.664586,25.781417,5.340450,5.340450,5.340450,23.311482
5,5.913793,24.983463,24.983463,80.818520,1.849013,5.664586,17.362984,25.781417,0.453808,5.340450,16.284353,23.311482
6,5.913793,18.737597,24.983463,80.818520,1.849013,5.664586,17.362984,25.781417,0.453808,5.340450,16.284353,23.311482
7,5.913793,5.913793,10.870071,79.285958,1.849013,1.849013,5.664586,23.319952,0.453808,0.453808,4.988019,23.311482
8,5.913793,5.913793,5.913793,18.737597,1.849013,1.849013,1.849013,5.534819,0.453808,0.453808,0.453808,4.007782
9,5.913793,5.913793,14.009942,73.779401,1.849013,1.849013,1.894772,23.319952,0.453808,0.453808,2.128656,23.311482
10,14.009942,21.745978,73.779401,154.007723,1.894772,5.077681,35.000000,58.772775,1.766797,3.799595,33.050181,143.290356
11,5.913793,5.913793,24.983463,106.157094,1.849013,1.849013,5.664586,28.473638,0.453808,0.453808,5.340450,25.046029
12,5.913793,24.983463,24.983463,79.285958,1.849013,5.664586,5.664586,23.319952,0.453808,5.340450,5.340450,23.311482
13,5.913793,5.913793,24.983463,79.285958,1.849013,1.849013,5.664586,25.781417,0.453808,0.453808,5.340450,23.311482
14,5.913793,5.913793,24.983463,79.285958,1.849013,1.849013,5.664586,23.319952,0.453808,0.453808,5.340450,23.311482
15,5.913793,5.913793,11.418501,24.983463,1.849013,1.849013,5.026475,6.456412,0.453808,0.453808,4.007782,6.405855
16,5.913793,5.913793,5.913793,15.558073,1.849013,1.849013,1.849013,6.456412,0.453808,0.453808,0.453808,6.405855
17,5.913793,5.913793,14.009942,39.096909,1.849013,1.849013,1.894772,18.761720,0.453808,0.453808,2.128656,6.405855
18,5.913793,14.009942,14.009942,39.096909,1.849013,1.894772,1.894772,18.761720,0.453808,2.128656,2.128656,6.405855
19,11.754534,14.009942,14.009942,71.924151,1.894772,1.894772,1.894772,23.319952,0.453808,2.128656,2.128656,23.311482
20,15.558073,119.877606,119.877606,199.796011,3.658411,45.176661,48.341117,75.294434,2.128656,102.961397,102.961397,171.030967
21,5.913793,5.913793,24.983463,98.455642,1.849013,1.849013,5.664586,29.517384,0.453808,0.453808,5.340450,24.454643
22,5.913793,5.913793,24.983463,80.818520,1.849013,1.849013,5.664586,25.781417,0.453808,0.453808,5.340450,23.311482
23,5.913793,5.913793,24.983463,24.983463,1.849013,1.849013,5.664586,6.456412,0.453808,0.453808,5.340450,6.405855
24,5.913793,14.009942,14.009942,24.983463,1.849013,1.894772,1.894772,6.456412,0.453808,2.128656,2.128656,5.340450
25,5.913793,14.009942,14.009942,14.009942,1.849013,1.894772,1.894772,1.894772,0.453808,2.128656,2.128656,2.128656
26,14.009942,14.009942,14.009942,15.558073,1.894772,1.894772,1.894772,5.534819,2.128656,2.128656,2.128656,4.005337
27,14.009942,14.009942,14.009942,15.558073,1.894772,1.894772,1.894772,5.534819,2.128656,2.128656,2.128656,4.005337
28,8.694496,14.009942,14.009942,43.879153,1.849013,1.894772,3.241300,8.812903,0.416141,2.128656,2.128656,6.085965
29,8.694496,40.608505,119.877606,154.007723,0.369492,5.749099,45.176661,48.341117,0.416141,5.848720,102.961397,102.961397
30,119.877606,154.007723,199.796011,199.796011,45.176661,48.341117,75.294434,75.294434,102.961397,102.961397,133.426253,133.426253
31,5.913793,5.913793,79.285958,110.510338,1.849013,1.849013,21.392572,30.199903,0.453808,0.453808,23.311482,34.529085
32,5.913793,5.913793,71.924151,110.510338,1.849013,1.849013,22.926259,29.517384,0.453808,0.453808,6.405855,34.529085
33,5.913793,14.009942,15.558073,24.983463,1.849013,1.894772,5.664586,6.456412,0.453808,2.128656,5.340450,6.405855
34,5.913793,14.009942,14.009942,24.983463,1.849013,1.894772,1.894772,6.456412,0.453808,2.128656,2.128656,6.405855
35,14.009942,14.009942,14.009942,24.983463,1.894772,1.894772,1.894772,6.456412,2.128656,2.128656,2.128656,5.340450
36,14.009942,14.009942,14.009942,24.983463,1.894772,1.894772,1.894772,5.670168,2.128656,2.128656,2.128656,5.340450
37,14.009942,14.009942,14.009942,14.009942,1.894772,1.894772,1.894772,3.241300,2.128656,2.128656,2.128656,2.128656
38,14.009942,14.009942,14.009942,43.879153,1.894772,1.894772,3.241300,8.812903,2.128656,2.128656,2.128656,6.085965
39,8.694496,11.754534,40.608505,71.924151,0.369492,3.241300,5.749099,25.781417,0.204798,0.416141,5.848720,6.085965
40,12.500000,40.608505,119.877606,199.796011,3.241300,5.749099,54.036077,75.294434,1.582929,5.848720,133.426253,141.883401
41,5.913793,14.009942,79.285958,106.157094,1.849013,1.894772,21.392572,30.199903,0.453808,2.128656,6.405855,26.455258
42,14.009942,14.009942,15.558073,85.139495,1.894772,1.894772,5.664586,29.517384,2.128656,2.128656,5.340450,23.311482
43,14.009942,14.009942,14.009942,24.983463,1.894772,1.894772,1.894772,6.456412,2.128656,2.128656,2.128656,5.340450
44,5.913793,14.009942,14.009942,24.983463,1.849013,1.894772,1.894772,5.664586,0.453808,2.128656,2.128656,5.340450
45,8.694496,14.009942,14.009942,24.983463,1.849013,1.894772,1.894772,5.664586,0.453808,2.128656,2.128656,5.340450
46,8.694496,14.009942,14.009942,40.608505,1.849013,1.894772,3.241300,5.749099,0.416141,2.128656,2.128656,5.848720
47,14.009942,14.009942,40.608505,40.608505,1.894772,1.894772,5.749099,5.749099,2.128656,2.128656,5.848720,5.848720
48,11.754534,40.608505,40.608505,40.608505,1.894772,5.749099,5.749099,5.749099,0.453808,5.848720,5.848720,5.848720
49,1.332000,11.754534,21.745978,71.924151,0.000000,3.241300,3.658411,24.894047,0.000000,0.204798,1.766797,6.173436
50,119.877606,119.877606,199.796011,199.796011,45.176661,45.176661,75.294434,75.294434,102.961397,102.961397,133.426253,171.602328
51,5.913793,5.913793,5.913793,106.157094,1.849013,1.849013,1.849013,30.199903,0.453808,0.453808,0.453808,26.455258
52,5.913793,11.754534,14.009942,24.983463,1.849013,1.894772,1.894772,6.456412,0.453808,0.453808,2.128656,4.007782
53,5.913793,11.754534,14.009942,24.983463,1.849013,1.894772,3.241300,5.801174,0.204798,0.453808,2.128656,4.988019
54,5.913793,11.754534,14.009942,14.009942,1.849013,1.894772,3.241300,5.026475,0.204798,0.453808,2.128656,4.988019
55,11.754534,11.754534,14.009942,25.286798,1.894772,3.241300,3.241300,5.860619,0.204798,0.204798,2.128656,5.551930
56,5.913793,11.754534,14.009942,40.608505,1.849013,1.894772,3.241300,5.749099,0.204798,0.453808,2.128656,5.848720
57,5.913793,11.754534,11.754534,40.608505,1.849013,3.241300,3.241300,5.749099,0.204798,0.204798,0.453808,5.848720
58,1.332000,11.754534,11.754534,24.983463,0.000000,3.241300,3.241300,5.664586,0.000000,0.204798,0.204798,5.340450
59,5.913793,21.745978,40.608505,119.877606,1.849013,3.658411,6.456412,45.176661,0.204798,1.766797,5.848720,102.961397
60,12.500000,36.781250,119.877606,199.796011,3.401826,45.176661,45.176661,75.294434,0.270464,33.050181,102.961397,171.602328
61,5.913793,11.418501,11.754534,106.157094,1.849013,3.241300,5.026475,30.199903,0.453808,0.453808,4.988019,26.455258
62,5.913793,5.913793,11.754534,80.818520,1.849013,1.849013,3.241300,25.781417,0.453808,0.453808,0.637392,23.311482
63,5.913793,5.913793,5.913793,17.409804,1.849013,1.849013,1.849013,5.801174,0.204798,0.453808,0.453808,5.139442
64,5.913793,5.913793,11.754534,119.873586,1.849013,1.849013,3.241300,45.582792,0.204798,0.204798,0.453808,6.679636
65,5.913793,5.913793,5.913793,119.873586,1.849013,1.849013,1.849013,45.582792,0.204798,0.453808,0.453808,6.679636
66,5.913793,5.913793,5.913793,119.873586,1.849013,1.849013,1.849013,45.582792,0.453808,0.453808,0.453808,6.679636
67,5.913793,12.500000,28.933905,119.877606,1.849013,1.849013,16.100000,45.582792,0.453808,0.453808,5.139442,102.961397
68,12.500000,12.500000,12.500000,119.877606,3.401826,3.401826,3.401826,46.198414,0.270464,0.270464,0.453808,102.961397
69,12.500000,12.500000,12.500000,36.781250,3.401826,3.401826,3.401826,22.926259,0.270464,0.270464,0.270464,6.679636
70,12.500000,12.500000,12.500000,61.302083,3.401826,3.401826,3.401826,67.515578,0.270464,0.270464,0.270464,55.083635
71,11.418501,11.418501,19.353126,106.157094,5.026475,5.026475,7.080732,30.199903,4.005337,4.988019,4.988019,26.455258
72,11.418501,15.308304,25.286798,111.798766,5.026475,5.026475,7.687157,28.473638,4.005337,4.988019,6.219279,29.646211
73,12.500000,15.308304,80.818520,119.873586,3.401826,5.548080,28.178595,45.582792,0.270464,4.007782,15.000000,32.706882
74,12.500000,50.000000,119.873586,119.873586,3.401826,25.781417,37.705695,45.582792,0.270464,4.007782,5.412544,25.046029
75,12.500000,12.500000,119.873586,119.873586,3.401826,3.401826,37.705695,45.582792,0.270464,0.270464,5.412544,29.646211
76,12.500000,12.500000,98.455642,119.873586,3.401826,3.401826,34.146475,45.582792,0.270464,0.270464,5.551930,29.646211
77,12.500000,12.500000,24.000000,119.873586,3.401826,3.401826,16.100000,45.582792,0.270464,0.270464,4.005337,6.679636
78,12.500000,12.500000,12.500000,36.781250,3.401826,3.401826,3.401826,43.696505,0.270464,0.270464,0.270464,25.046029
79,12.500000,12.500000,15.308304,61.302083,3.401826,3.401826,7.080732,67.515578,0.270464,0.270464,2.000000,55.083635
