ClimateBin,Nrate25,Nrate50,Nrate75,Nrate95,P2O5rate25,P2O5rate50,P2O5rate75,P2O5rate95,K2Orate25,K2Orate50,K2Orate75,K2Orate95
1,2.088723,2.088723,7.958408,159.235641,0.381388,1.438825,1.438825,85.566393,0.060916,0.060916,0.150972,16.931365
2,2.088723,2.088723,13.759769,54.716914,1.438825,1.438825,4.838116,12.727945,0.060916,0.060916,1.403944,1.511395
3,2.088723,13.759769,41.687782,54.716914,1.438825,4.838116,12.727945,12.727945,0.113809,1.403944,1.511395,1.511395
4,13.759769,13.759769,41.687782,54.716914,4.838116,4.838116,12.727945,12.727945,1.403944,1.403944,1.511395,1.511395
5,13.759769,41.687782,41.687782,56.000000,4.838116,12.218040,12.727945,17.079136,1.403944,1.511395,1.511395,8.400452
6,13.759769,41.687782,54.716914,56.000000,4.838116,12.218040,12.727945,17.079136,1.403944,1.511395,1.511395,8.400452
7,13.759769,41.687782,54.716914,118.928936,4.838116,12.218040,12.727945,22.202877,1.403944,1.511395,1.511395,14.919349
8,13.759769,41.687782,56.000000,118.928936,4.838116,12.218040,17.079136,60.612287,1.403944,1.511395,2.128672,14.919349
9,13.759769,50.284634,64.830837,118.928936,4.838116,12.218040,20.392508,66.073196,1.403944,1.403944,2.128672,15.066128
10,13.759769,13.759769,72.000000,188.851381,4.838116,4.838116,21.676072,60.612287,1.403944,1.403944,7.487531,30.000000
11,2.088723,2.088723,13.759769,118.928936,1.438825,1.438825,4.838116,60.612287,0.060916,0.060916,1.403944,14.919349
12,2.088723,2.088723,13.759769,56.000000,1.438825,1.438825,4.838116,17.079136,0.060916,0.060916,1.403944,8.400452
13,2.088723,13.759769,41.687782,56.000000,1.438825,4.838116,12.727945,17.079136,0.060916,1.403944,1.511395,8.400452
14,2.088723,41.687782,41.687782,78.000000,1.438825,12.218040,12.727945,18.787050,0.060916,1.511395,1.511395,9.975537
15,13.759769,41.687782,56.000000,118.928936,4.838116,12.727945,17.079136,60.612287,1.403944,1.511395,8.400452,14.919349
16,64.830837,78.000000,78.000000,78.000000,17.079510,18.787050,18.787050,25.351220,2.128672,9.975537,9.975537,9.975537
17,50.284634,64.830837,96.000000,118.928936,17.079510,18.787050,21.633573,66.073196,1.403944,2.128672,14.919349,18.375988
18,13.759769,13.759769,13.759769,118.928936,4.838116,4.838116,4.838116,24.790064,1.403944,1.403944,1.403944,18.375988
19,13.759769,13.759769,47.000000,130.068207,4.838116,4.838116,16.768365,34.527731,1.403944,1.403944,12.604581,83.362308
20,24.000000,96.751522,134.534273,163.036146,12.188264,15.871780,21.633573,44.400533,4.485532,15.066128,30.242290,83.362308
21,2.088723,2.088723,56.000000,130.000000,1.438825,1.438825,17.079136,60.612287,0.060916,0.060916,8.400452,19.426045
22,13.759769,56.000000,56.000000,118.928936,4.838116,17.079136,17.079136,60.612287,1.403944,8.400452,8.400452,14.919349
23,13.759769,78.000000,78.000000,118.928936,4.838116,18.787050,18.787050,60.612287,1.403944,9.975537,9.975537,14.919349
24,13.759769,50.284634,78.000000,118.928936,4.838116,17.079136,18.787050,60.612287,1.403944,1.403944,9.975537,14.919349
25,13.759769,68.834666,78.000000,121.227779,4.838116,18.787050,19.356354,29.671376,1.403944,9.975537,11.025593,31.835211
26,20.307753,68.834666,114.724444,193.710851,4.838116,21.633573,24.790064,66.073196,1.403944,14.919349,31.835211,53.058685
27,20.307753,68.834666,114.724444,215.033002,4.838116,16.892429,24.790064,41.316773,0.726110,12.100381,31.835211,53.058685
28,20.307753,20.307753,114.724444,165.765507,3.545297,4.838116,21.633573,41.316773,0.726110,1.403944,30.242290,53.058685
29,20.307753,27.349567,114.724444,188.412483,3.545297,4.838116,24.790064,41.316773,0.726110,0.726110,31.835211,53.058685
30,56.668181,126.715662,134.534273,215.033002,15.294381,27.000000,30.497593,45.176661,7.487531,27.694275,33.548874,41.850834
31,13.759769,75.049001,118.928936,198.214894,4.838116,17.648441,60.612287,67.587885,1.403944,8.400452,14.919349,18.901017
32,13.759769,49.000000,50.284634,118.928936,4.838116,14.801918,18.787050,60.612287,1.403944,1.403944,3.675198,14.919349
33,13.759769,49.000000,53.000000,80.000000,4.838116,14.801918,24.029086,36.126787,0.726110,1.403944,11.025593,11.550621
34,13.759769,27.349567,62.000000,130.000000,4.838116,8.481168,19.356354,57.031640,0.726110,1.403944,11.025593,17.323992
35,20.307753,20.307753,62.000000,163.036146,3.545297,4.838116,19.094167,60.612287,0.726110,0.726110,10.527697,25.771432
36,20.307753,62.000000,118.928936,161.741144,3.545297,18.761720,30.497593,60.612287,0.726110,10.527697,22.713177,41.850834
