lucode,is_tropical_forest,c_above,c_below,c_soil,c_dead,Descripción
0,0,0,0,0,0,Agua
1,1,n/a,16.8,60,14.4,Bosque de hojas aciculares perenne
2,1,n/a,22.4,60,19.2,Bosque latifoliado perenne
3,1,n/a,12.8,60,11,Bosque de hojas aciculares deciduo
4,1,n/a,15.6,60,13.4,Bosque latifoliado deciduo
5,1,n/a,14.1,60,12.1,Bosque mixto
6,0,10.5,6.7,60.1,1.3,Matorrales cerrados
7,0,4.5,7.3,65.5,1.1,Matorrales abiertos
8,0,20.1,23.6,151.4,2.6,Sabanas arboladas
9,0,4.4,7.1,211,1.5,Sabanas 
10,0,3,7.9,71,0.9,Pastizales
12,0,0.25,0.5,50.8,2.4,Tierras de cultivo
13,0,0,0,0,0,Urbano y construido
16,0,0,0,0,0,Estéril o con poca vegetación
