Amenaza,"Número de especies en peligro por amenaza según Lowe et al. (1990), Moseley (1992) y Beacham (1994) ","Número estimado de especies en peligro por amenaza, derivado de una extrapolación del 5% del Federal Register"
Interacción con especies no nativas,305,340
urbanización,275,340
Agricultura,224,260
Desarrollo de recreación al aire libre y turismo,186,200
Ganado doméstico y actividades ganaderas,182,140
Reservorios y otros desvíos de agua corriente,161,240
Regímenes de fuego modificados y silvicultura,144,80
"Contaminación de agua, aire y suelo",144,140
"Extracción o exploración de minerales, gases, petróleo o geotermales ",140,140
"Actividades industriales, institucionales y militares",131,220
Cosecha intencional e incidental,120,220
Explotación forestal,109,80
"Presencia, construcción y mantenimiento de vías",94,100
"Pérdida de variabilidad genética, depresión endogámica o hibridación",92,240
"Agotamiento de acuíferos, drenaje o relleno de humedales",77,40
"Interacciones de especies nativas, sucesión vegetal",77,160
Enfermedades,19,20
Vandalismo (destrucción sin cosecha),12,0
