Term_lvl1,Term_lvl1_2_3,Category1
abutters,commercial,cultural
abutters,industrial,industrial
abutters,mixed,cultural
abutters,residential,cultural
abutters,retail,cultural
aerialway,cable_car,superstructure
aerialway,chair_lift,superstructure
aerialway,drag_lift,superstructure
aerialway,gondola,superstructure
aerialway,goods,industrial
aerialway,mixed_lift,superstructure
aerialway,pylon,superstructure
aerialway,station,superstructure
aeroway,aerodrome,superstructure
aeroway,apron,industrial
aeroway,gate,cultural
aeroway,runway,industrial
aeroway,taxiway,industrial
aeroway,terminal,superstructure
aeroway,windsock,cultural
amenity,arts_centre,superstructure
amenity,atm,cultural
amenity,baby_hatch,cultural
amenity,bank,cultural
amenity,bar,cultural
amenity,bbq,superstructure
amenity,bench,cultural
amenity,bicycle_parking,cultural
amenity,bicycle_rental,superstructure
amenity,biergarten,cultural
amenity,brothel,superstructure
amenity,bureau_de_change,cultural
amenity,bus_station,cultural
amenity,cafe,cultural
amenity,car_rental,superstructure
amenity,car_sharing,cultural
amenity,car_wash,cultural
amenity,cinema,superstructure
amenity,clock,cultural
amenity,college,cultural
amenity,community_centre,cultural
amenity,courthouse,cultural
amenity,crematorium,cultural
amenity,dentist,cultural
amenity,doctors,cultural
amenity,drinking_water,cultural
amenity,embassy,superstructure
amenity,ev_charging,cultural
amenity,fast_food,cultural
amenity,ferry_terminal,cultural
amenity,fire_station,cultural
amenity,food_court,cultural
amenity,fountain,cultural
amenity,fuel,cultural
amenity,grave_yard,cultural
amenity,grit_bin,cultural
amenity,hospital,cultural
amenity,hunting_stand,superstructure
amenity,ice_cream,cultural
amenity,kindergarten,cultural
amenity,library,cultural
amenity,marketplace,cultural
amenity,nightclub,superstructure
amenity,nursing_home,cultural
amenity,parking,cultural
amenity,parking_entrance,cultural
amenity,parking_space,cultural
amenity,pharmacy,cultural
amenity,place_of_worship,cultural
amenity,police,cultural
amenity,post_box,cultural
amenity,post_office,cultural
amenity,prison,cultural
amenity,pub,cultural
amenity,public_building,cultural
amenity,recycling,cultural
amenity,restaurant,cultural
amenity,sauna,superstructure
amenity,school,cultural
amenity,shelter,superstructure
amenity,social_centre,cultural
amenity,social_facility,cultural
amenity,stripclub,superstructure
amenity,studio,cultural
amenity,taxi,superstructure
amenity,telephone,cultural
amenity,theatre,superstructure
amenity,toilets,cultural
amenity,townhall,cultural
amenity,university,cultural
amenity,User Defined,superstructure
amenity,vending_machine,cultural
amenity,veterinary,cultural
amenity,waste_basket,cultural
amenity,waste_disposal,cultural
amenity,watering_place,cultural
barrier,block,cultural
barrier,bollard,cultural
barrier,cattle_grid,cultural
barrier,chain,cultural
barrier,city_wall,cultural
barrier,cycle_barrier,cultural
barrier,ditch,cultural
barrier,entrance,cultural
barrier,fence,cultural
barrier,gate,cultural
barrier,hedge,cultural
barrier,horse_stile,cultural
barrier,kent_carriage_gap,cultural
barrier,kissing_gate,cultural
barrier,lift_gate,cultural
barrier,retaining_wall,cultural
barrier,sally_port,cultural
barrier,stile,cultural
barrier,toll_booth,cultural
barrier,turnstile,cultural
barrier,wall,cultural
boundary,administrative,cultural
boundary,civil,cultural
boundary,maritime,natural
boundary,national_park,natural
boundary,political,cultural
boundary,protected_area,natural
cables,... 3 4 6 8 9 12 15 18 ...,industrial
craft,agricultural_engines,cultural
craft,basket_maker,cultural
craft,beekeeper,cultural
craft,blacksmith,cultural
craft,boatbuilder,cultural
craft,bookbinder,cultural
