,Average OMC,OMC<2%,OMC>2%
Clay,0.22,0.24,0.21
Clay loam,0.3,0.33,0.28
Coarse sandy loam,0.07,0.07,0.07
Fine sand,0.08,0.09,0.06
Fine sandy loam,0.18,0.22,0.17
Heavy clay,0.17,0.19,0.15
Loam,0.3,0.34,0.26
Loamy fine sand,0.11,0.15,0.09
Loamy sand,0.04,0.05,0.04
Loamy very fine sand,0.39,0.44,0.25
Sand,0.02,0.03,0.01
Sandy clay loam,0.2,0.2,0.2
Sandy loam,0.13,0.14,0.12
Silt loam,0.38,0.41,0.37
Silty clay,0.26,0.27,0.26
Silty clay loam,0.32,0.35,0.3
Very fine sand,0.43,0.46,0.37
Very fine sandy loam,0.35,0.41,0.33
